Subject,Block,Order,Type,ImagePair,Trial,TrialOrder,RT,Outliers,Image1,Image2,G1,L1,G2,L2,Response
8,global,local-global,GSLD,7,1187,2,0.505687439785106,0,1,8,1,1,1,2,same
8,global,local-global,GSLD,14,510,1,0.949165226353216,0,1,15,1,1,1,3,same
8,global,local-global,GSLD,21,335,1,1.00988022213278,0,1,22,1,1,1,4,same
8,global,local-global,GSLD,28,945,2,0.567336413165322,0,1,29,1,1,1,5,same
8,global,local-global,GSLD,35,979,1,0.64480171816831,0,1,36,1,1,1,6,same
8,global,local-global,GSLD,42,452,1,1.80421747338551,1,1,43,1,1,1,7,same
8,global,local-global,GSLD,55,392,1,0.845674349431647,0,2,9,2,1,2,2,same
8,global,local-global,GSLD,62,300,1,0.838243289297679,0,2,16,2,1,2,3,same
8,global,local-global,GSLD,69,584,2,1.07122891512699,1,2,23,2,1,2,4,same
8,global,local-global,GSLD,76,168,1,0.716020956286229,0,2,30,2,1,2,5,same
8,global,local-global,GSLD,83,145,1,1.04584026608791,0,2,37,2,1,2,6,same
8,global,local-global,GSLD,90,414,2,0.757778405968565,0,2,44,2,1,2,7,same
8,global,local-global,GSLD,102,306,1,0.990001014622976,0,3,10,3,1,3,2,same
8,global,local-global,GSLD,109,1053,2,0.68527535184694,0,3,17,3,1,3,3,same
8,global,local-global,GSLD,116,421,2,0.953143061909941,0,3,24,3,1,3,4,same
8,global,local-global,GSLD,123,379,1,0.707435693359002,0,3,31,3,1,3,5,same
8,global,local-global,GSLD,130,672,2,0.907407483435236,0,3,38,3,1,3,6,same
8,global,local-global,GSLD,137,723,1,0.658631624581176,0,3,45,3,1,3,7,same
8,global,local-global,GSLD,148,304,2,0.623261877932237,0,4,11,4,1,4,2,same
8,global,local-global,GSLD,155,727,1,0.532328527871869,0,4,18,4,1,4,3,same
8,global,local-global,GSLD,162,661,1,0.548141340579605,0,4,25,4,1,4,4,same
8,global,local-global,GSLD,169,792,2,0.638150976534234,0,4,32,4,1,4,5,same
8,global,local-global,GSLD,176,78,1,1.18271417118376,1,4,39,4,1,4,6,same
8,global,local-global,GSLD,183,348,1,0.971305920626037,0,4,46,4,1,4,7,same
8,global,local-global,GSLD,193,594,1,1.5112707784283,1,5,12,5,1,5,2,same
8,global,local-global,GSLD,200,752,2,1.21519254600571,1,5,19,5,1,5,3,same
8,global,local-global,GSLD,207,739,1,0.588625530988793,0,5,26,5,1,5,4,same
8,global,local-global,GSLD,214,492,2,0.626113075515605,0,5,33,5,1,5,5,same
8,global,local-global,GSLD,221,187,1,1.12419908121228,0,5,40,5,1,5,6,same
8,global,local-global,GSLD,228,512,1,0.886152674982441,0,5,47,5,1,5,7,same
8,global,local-global,GSLD,237,253,1,1.10803085850785,0,6,13,6,1,6,2,same
8,global,local-global,GSLD,244,1160,2,0.673531573134824,0,6,20,6,1,6,3,same
8,global,local-global,GSLD,251,891,2,0.674670527310809,0,6,27,6,1,6,4,same
8,global,local-global,GSLD,258,868,1,0.691953658286366,0,6,34,6,1,6,5,same
8,global,local-global,GSLD,265,615,2,1.30302338962792,0,6,41,6,1,6,6,same
8,global,local-global,GSLD,272,318,2,2.06639920989983,1,6,48,6,1,6,7,same
8,global,local-global,GSLD,280,517,1,1.06618748874462,1,7,14,7,1,7,2,same
8,global,local-global,GSLD,287,916,2,0.784196043212432,0,7,21,7,1,7,3,same
8,global,local-global,GSLD,294,825,1,0.604164161879453,0,7,28,7,1,7,4,same
8,global,local-global,GSLD,301,40,1,1.33154416261823,1,7,35,7,1,7,5,same
8,global,local-global,GSLD,308,1195,2,0.922103628414334,0,7,42,7,1,7,6,same
8,global,local-global,GSLD,315,111,2,2.02874393061211,1,7,49,7,1,7,7,same
8,global,local-global,GSLD,322,726,1,0.569311988394475,0,8,15,1,2,1,3,same
8,global,local-global,GSLD,329,256,1,0.773128775137593,0,8,22,1,2,1,4,same
8,global,local-global,GSLD,336,167,2,2.08981697558193,1,8,29,1,2,1,5,same
8,global,local-global,GSLD,343,878,2,1.18001164759335,1,8,36,1,2,1,6,same
8,global,local-global,GSLD,350,788,2,0.615493588833488,0,8,43,1,2,1,7,same
8,global,local-global,GSLD,363,1034,2,0.614047023205785,0,9,16,2,2,2,3,same
8,global,local-global,GSLD,370,954,2,0.5315139000013,0,9,23,2,2,2,4,same
8,global,local-global,GSLD,377,545,1,1.2978080703906,1,9,30,2,2,2,5,same
8,global,local-global,GSLD,384,296,1,0.82283515133895,0,9,37,2,2,2,6,same
8,global,local-global,GSLD,391,146,1,0.521724876292865,0,9,44,2,2,2,7,same
8,global,local-global,GSLD,403,1185,2,0.671153375835274,0,10,17,3,2,3,3,same
8,global,local-global,GSLD,410,199,1,0.897113789251307,0,10,24,3,2,3,4,same
8,global,local-global,GSLD,417,923,2,0.793598573203781,0,10,31,3,2,3,5,same
8,global,local-global,GSLD,424,994,2,0.62507822245243,0,10,38,3,2,3,6,same
8,global,local-global,GSLD,431,1008,1,1.36100507133233,1,10,45,3,2,3,7,same
8,global,local-global,GSLD,442,657,2,0.63584081150475,0,11,18,4,2,4,3,same
8,global,local-global,GSLD,449,720,2,0.775027814059285,0,11,25,4,2,4,4,same
8,global,local-global,GSLD,456,432,1,0.749449730312335,0,11,32,4,2,4,5,same
8,global,local-global,GSLD,463,705,1,0.624995821286575,0,11,39,4,2,4,6,same
8,global,local-global,GSLD,470,192,2,0.797130386796198,0,11,46,4,2,4,7,same
8,global,local-global,GSLD,480,475,1,1.53535860340344,1,12,19,5,2,5,3,same
8,global,local-global,GSLD,487,1108,2,0.723152322505484,0,12,26,5,2,5,4,same
8,global,local-global,GSLD,494,190,1,0.758475736816763,0,12,33,5,2,5,5,same
8,global,local-global,GSLD,501,1132,2,0.615909993299283,0,12,40,5,2,5,6,same
8,global,local-global,GSLD,508,1208,2,0.915586605391582,0,12,47,5,2,5,7,same
8,global,local-global,GSLD,517,683,2,0.813498014453216,0,13,20,6,2,6,3,same
8,global,local-global,GSLD,524,689,1,0.851902528505889,0,13,27,6,2,6,4,same
8,global,local-global,GSLD,531,784,2,0.742962618023739,0,13,34,6,2,6,5,same
8,global,local-global,GSLD,538,101,1,1.63780084488099,1,13,41,6,2,6,6,same
8,global,local-global,GSLD,545,225,1,0.994464459872688,0,13,48,6,2,6,7,same
8,global,local-global,GSLD,553,389,1,0.93593118886929,0,14,21,7,2,7,3,same
8,global,local-global,GSLD,560,17,1,0.889270430066972,0,14,28,7,2,7,4,same
8,global,local-global,GSLD,567,753,1,0.987214916895027,0,14,35,7,2,7,5,same
8,global,local-global,GSLD,574,332,1,1.28338962614362,1,14,42,7,2,7,6,same
8,global,local-global,GSLD,581,91,1,1.17953072977252,1,14,49,7,2,7,7,same
8,global,local-global,GSLD,588,1085,2,0.640913614843157,0,15,22,1,3,1,4,same
8,global,local-global,GSLD,595,1207,2,0.758287475080579,0,15,29,1,3,1,5,same
8,global,local-global,GSLD,602,354,1,0.647894254390849,0,15,36,1,3,1,6,same
8,global,local-global,GSLD,609,1137,2,0.673684939014493,0,15,43,1,3,1,7,same
8,global,local-global,GSLD,622,542,2,1.08562741888454,0,16,23,2,3,2,4,same
8,global,local-global,GSLD,629,562,2,0.634151734266197,0,16,30,2,3,2,5,same
8,global,local-global,GSLD,636,791,2,0.767433417815482,0,16,37,2,3,2,6,same
8,global,local-global,GSLD,643,526,1,0.62840711219178,0,16,44,2,3,2,7,same
