Conditions,RT,Subject,Shapeg1,Shapel1,Shapeg2,Shapel2,ShapeChange,congruence,congruence_pair,ImagePair,Image-1,Image-2,Trial
1,0.662976121879183,1,1,1,2,1,"Global Change",NaN,NaN,1,1,1,1
1,0.815856811241247,1,1,1,2,1,"Global Change",NaN,NaN,1,1,1,2
1,1.56871415849309,2,1,1,2,1,"Global Change",NaN,NaN,1,1,1,1
1,2.77863769291434,2,1,1,2,1,"Global Change",NaN,NaN,1,1,1,2
1,1.44330699241254,3,1,1,2,1,"Global Change",NaN,NaN,1,1,1,1
1,1.00309604604263,3,1,1,2,1,"Global Change",NaN,NaN,1,1,1,2
1,1.47278658219147,4,1,1,2,1,"Global Change",NaN,NaN,1,1,1,1
1,1.09607888909522,4,1,1,2,1,"Global Change",NaN,NaN,1,1,1,2
1,0.690672508906573,5,1,1,2,1,"Global Change",NaN,NaN,1,1,1,1
1,2.75299106549937,5,1,1,2,1,"Global Change",NaN,NaN,1,1,1,2
1,1.00142398173921,6,1,1,2,1,"Global Change",NaN,NaN,1,1,1,1
1,0.738365048426203,6,1,1,2,1,"Global Change",NaN,NaN,1,1,1,2
1,1.01130417489912,7,1,1,2,1,"Global Change",NaN,NaN,1,1,1,1
1,0.73279140307568,7,1,1,2,1,"Global Change",NaN,NaN,1,1,1,2
1,0.580477256793529,8,1,1,2,1,"Global Change",NaN,NaN,1,1,1,1
1,1.61176585475914,8,1,1,2,1,"Global Change",NaN,NaN,1,1,1,2
2,0.656464689527638,1,1,1,3,1,"Global Change",NaN,NaN,2,1,1,1
2,2.09687269444112,1,1,1,3,1,"Global Change",NaN,NaN,2,1,1,2
2,0.708859066828154,2,1,1,3,1,"Global Change",NaN,NaN,2,1,1,1
2,1.49510872818064,2,1,1,3,1,"Global Change",NaN,NaN,2,1,1,2
2,0.883300646673888,3,1,1,3,1,"Global Change",NaN,NaN,2,1,1,1
2,0.869408027152531,3,1,1,3,1,"Global Change",NaN,NaN,2,1,1,2
2,0.481943641265389,4,1,1,3,1,"Global Change",NaN,NaN,2,1,1,1
2,0.838411204691511,4,1,1,3,1,"Global Change",NaN,NaN,2,1,1,2
2,0.658826751518063,5,1,1,3,1,"Global Change",NaN,NaN,2,1,1,1
2,2.59855766128749,5,1,1,3,1,"Global Change",NaN,NaN,2,1,1,2
2,0.756688843597658,6,1,1,3,1,"Global Change",NaN,NaN,2,1,1,1
2,0.761214736266993,6,1,1,3,1,"Global Change",NaN,NaN,2,1,1,2
2,0.580507753882557,7,1,1,3,1,"Global Change",NaN,NaN,2,1,1,1
2,1.69617020455189,7,1,1,3,1,"Global Change",NaN,NaN,2,1,1,2
2,0.566985205281526,8,1,1,3,1,"Global Change",NaN,NaN,2,1,1,1
2,2.06131215114146,8,1,1,3,1,"Global Change",NaN,NaN,2,1,1,2
3,0.863676617736928,1,1,1,4,1,"Global Change",NaN,NaN,3,1,1,1
3,0.841007273527794,1,1,1,4,1,"Global Change",NaN,NaN,3,1,1,2
3,0.745580260758288,2,1,1,4,1,"Global Change",NaN,NaN,3,1,1,1
3,0.587445559678599,2,1,1,4,1,"Global Change",NaN,NaN,3,1,1,2
3,1.57451594586018,3,1,1,4,1,"Global Change",NaN,NaN,3,1,1,1
3,1.87202931474894,3,1,1,4,1,"Global Change",NaN,NaN,3,1,1,2
3,0.705780322081409,4,1,1,4,1,"Global Change",NaN,NaN,3,1,1,1
3,0.573682552902028,4,1,1,4,1,"Global Change",NaN,NaN,3,1,1,2
3,2.30409224680625,5,1,1,4,1,"Global Change",NaN,NaN,3,1,1,1
3,3.32857968960889,5,1,1,4,1,"Global Change",NaN,NaN,3,1,1,2
3,1.63373933627736,6,1,1,4,1,"Global Change",NaN,NaN,3,1,1,1
