ShapePairs,Subject,Distractor,Target,meanRT
1,1,D.Congruent,T.Incongruent,1.13404800113931
2,1,D.Congruent,T.Incongruent,1.21706338227086
3,1,D.Congruent,T.Incongruent,1.03082499744778
4,1,D.Congruent,T.Incongruent,1.09612164369319
5,1,D.Congruent,T.Incongruent,1.26567544722056
6,1,D.Congruent,T.Incongruent,1.36199310834345
7,1,D.Congruent,T.Incongruent,1.03372850832238
8,1,D.Congruent,T.Incongruent,1.00763214351318
9,1,D.Congruent,T.Incongruent,1.19578504619712
10,1,D.Congruent,T.Incongruent,1.14022506594774
11,1,D.Congruent,T.Incongruent,1.23292207893101
12,1,D.Congruent,T.Incongruent,1.22723503705929
13,1,D.Congruent,T.Incongruent,1.25621992073138
14,1,D.Congruent,T.Incongruent,1.09405559452425
15,1,D.Congruent,T.Incongruent,1.1562334758346
16,1,D.Congruent,T.Incongruent,1.14415203437966
17,1,D.Congruent,T.Incongruent,1.26259169666737
18,1,D.Congruent,T.Incongruent,1.18743003252603
19,1,D.Congruent,T.Incongruent,1.20451551921433
20,1,D.Congruent,T.Incongruent,1.27903587108012
21,1,D.Congruent,T.Incongruent,1.14040429527522
1,2,D.Congruent,T.Incongruent,0.944796411079005
2,2,D.Congruent,T.Incongruent,1.16661349949427
3,2,D.Congruent,T.Incongruent,0.835819636995438
4,2,D.Congruent,T.Incongruent,1.10008116198587
5,2,D.Congruent,T.Incongruent,1.06778115869674
6,2,D.Congruent,T.Incongruent,0.998297262651613
7,2,D.Congruent,T.Incongruent,1.0061165823543
8,2,D.Congruent,T.Incongruent,1.01762051355036
9,2,D.Congruent,T.Incongruent,1.2328802993201
10,2,D.Congruent,T.Incongruent,1.11894556290354
11,2,D.Congruent,T.Incongruent,1.13088986985094
12,2,D.Congruent,T.Incongruent,1.10836451470095
13,2,D.Congruent,T.Incongruent,1.35202851424692
14,2,D.Congruent,T.Incongruent,1.0053749447281
15,2,D.Congruent,T.Incongruent,1.09667240297131
16,2,D.Congruent,T.Incongruent,1.22492449759739
17,2,D.Congruent,T.Incongruent,1.01245945934206
18,2,D.Congruent,T.Incongruent,1.02362069360679
19,2,D.Congruent,T.Incongruent,1.15783327801328
20,2,D.Congruent,T.Incongruent,1.09198689884797
21,2,D.Congruent,T.Incongruent,1.05177465487795
1,3,D.Congruent,T.Incongruent,1.02096668012673
2,3,D.Congruent,T.Incongruent,1.22156650605611
3,3,D.Congruent,T.Incongruent,1.09481077992532
4,3,D.Congruent,T.Incongruent,1.25578175896371
5,3,D.Congruent,T.Incongruent,1.30042628548981
6,3,D.Congruent,T.Incongruent,1.15198906589358
7,3,D.Congruent,T.Incongruent,0.919518388595316
8,3,D.Congruent,T.Incongruent,1.06460746957455
9,3,D.Congruent,T.Incongruent,1.34042276951077
10,3,D.Congruent,T.Incongruent,1.0645235877746
11,3,D.Congruent,T.Incongruent,0.991143330404884
12,3,D.Congruent,T.Incongruent,1.23643854563998
13,3,D.Congruent,T.Incongruent,1.27606666673964
14,3,D.Congruent,T.Incongruent,1.19998338785663
15,3,D.Congruent,T.Incongruent,1.10453037192347
16,3,D.Congruent,T.Incongruent,1.27349602187751
17,3,D.Congruent,T.Incongruent,1.30037976268213
18,3,D.Congruent,T.Incongruent,1.14765812033147
19,3,D.Congruent,T.Incongruent,1.29162960578979
20,3,D.Congruent,T.Incongruent,1.25243754977419
21,3,D.Congruent,T.Incongruent,1.22088455777266
1,4,D.Congruent,T.Incongruent,0.84109655834327
2,4,D.Congruent,T.Incongruent,0.83698434177204
3,4,D.Congruent,T.Incongruent,0.725120676291408
4,4,D.Congruent,T.Incongruent,0.919831951972446
5,4,D.Congruent,T.Incongruent,0.969164790409559
6,4,D.Congruent,T.Incongruent,0.882491820018913
7,4,D.Congruent,T.Incongruent,0.73691470419144
8,4,D.Congruent,T.Incongruent,0.872838720575965
9,4,D.Congruent,T.Incongruent,0.902037436117826
10,4,D.Congruent,T.Incongruent,0.840955384440895
11,4,D.Congruent,T.Incongruent,0.78230665253941
12,4,D.Congruent,T.Incongruent,0.840386700782983
13,4,D.Congruent,T.Incongruent,0.892668473234517
