ShapePairs,Subject,Distractor,Target,meanRT
1,1,D.Incongruent,T.Congruent,1.08077386341465
2,1,D.Incongruent,T.Congruent,1.33063105469919
3,1,D.Incongruent,T.Congruent,0.765127145196311
4,1,D.Incongruent,T.Congruent,1.0741667169932
5,1,D.Incongruent,T.Congruent,1.29705507607141
6,1,D.Incongruent,T.Congruent,1.2074171680084
7,1,D.Incongruent,T.Congruent,1.09267492454674
8,1,D.Incongruent,T.Congruent,1.04927402147441
9,1,D.Incongruent,T.Congruent,1.32148378988204
10,1,D.Incongruent,T.Congruent,1.47754736880306
11,1,D.Incongruent,T.Congruent,1.28850301130151
12,1,D.Incongruent,T.Congruent,1.27960341110884
13,1,D.Incongruent,T.Congruent,1.28868812013243
14,1,D.Incongruent,T.Congruent,1.48164951251529
15,1,D.Incongruent,T.Congruent,1.33718388136476
16,1,D.Incongruent,T.Congruent,0.994826651620679
17,1,D.Incongruent,T.Congruent,1.36263924583327
18,1,D.Incongruent,T.Congruent,1.19071199709724
19,1,D.Incongruent,T.Congruent,1.31152123978827
20,1,D.Incongruent,T.Congruent,1.18319099218643
21,1,D.Incongruent,T.Congruent,1.48310388474201
1,2,D.Incongruent,T.Congruent,0.939122741008759
2,2,D.Incongruent,T.Congruent,1.32200118557084
3,2,D.Incongruent,T.Congruent,0.888203237621929
4,2,D.Incongruent,T.Congruent,1.13824024472269
5,2,D.Incongruent,T.Congruent,1.20023958581733
6,2,D.Incongruent,T.Congruent,1.08217582273064
7,2,D.Incongruent,T.Congruent,0.997423922840971
8,2,D.Incongruent,T.Congruent,0.943300577750779
9,2,D.Incongruent,T.Congruent,1.15617179976543
10,2,D.Incongruent,T.Congruent,1.12134789434785
11,2,D.Incongruent,T.Congruent,0.907076861002133
12,2,D.Incongruent,T.Congruent,1.34664007307147
13,2,D.Incongruent,T.Congruent,1.36165265606251
14,2,D.Incongruent,T.Congruent,1.24023189115687
15,2,D.Incongruent,T.Congruent,1.27518622315547
16,2,D.Incongruent,T.Congruent,1.07571597164788
17,2,D.Incongruent,T.Congruent,1.14331341440266
18,2,D.Incongruent,T.Congruent,1.07173217296368
19,2,D.Incongruent,T.Congruent,1.28943222099624
20,2,D.Incongruent,T.Congruent,1.20723257235659
21,2,D.Incongruent,T.Congruent,1.2682061025931
1,3,D.Incongruent,T.Congruent,1.61192368471529
2,3,D.Incongruent,T.Congruent,1.44964472300198
3,3,D.Incongruent,T.Congruent,0.979025211746921
4,3,D.Incongruent,T.Congruent,1.2647704826406
5,3,D.Incongruent,T.Congruent,1.11886265612848
6,3,D.Incongruent,T.Congruent,1.34436341034889
7,3,D.Incongruent,T.Congruent,1.29368473172945
8,3,D.Incongruent,T.Congruent,1.32541106623248
9,3,D.Incongruent,T.Congruent,1.44970408246154
10,3,D.Incongruent,T.Congruent,1.40063752946735
11,3,D.Incongruent,T.Congruent,1.53169852052524
12,3,D.Incongruent,T.Congruent,1.26003593384812
13,3,D.Incongruent,T.Congruent,1.25309924239409
14,3,D.Incongruent,T.Congruent,1.19815959300031
15,3,D.Incongruent,T.Congruent,1.45526569020294
16,3,D.Incongruent,T.Congruent,1.00635448202374
17,3,D.Incongruent,T.Congruent,1.03443493493833
18,3,D.Incongruent,T.Congruent,1.18848818058905
19,3,D.Incongruent,T.Congruent,1.14865337539522
20,3,D.Incongruent,T.Congruent,1.25405142023519
21,3,D.Incongruent,T.Congruent,1.23900801751006
1,4,D.Incongruent,T.Congruent,0.945197961619124
2,4,D.Incongruent,T.Congruent,0.916102217900334
3,4,D.Incongruent,T.Congruent,0.640860447434534
4,4,D.Incongruent,T.Congruent,0.774250870043761
5,4,D.Incongruent,T.Congruent,0.85763986309903
6,4,D.Incongruent,T.Congruent,0.937204683598247
7,4,D.Incongruent,T.Congruent,0.963912501362211
8,4,D.Incongruent,T.Congruent,0.860870609730773
9,4,D.Incongruent,T.Congruent,1.09004890099459
10,4,D.Incongruent,T.Congruent,1.02716726888757
11,4,D.Incongruent,T.Congruent,1.13316112958128
12,4,D.Incongruent,T.Congruent,0.954061757000454
13,4,D.Incongruent,T.Congruent,1.04576623474131
14,4,D.Incongruent,T.Congruent,0.921102817583596
15,4,D.Incongruent,T.Congruent,1.16239210904314
16,4,D.Incongruent,T.Congruent,0.82433135023748
17,4,D.Incongruent,T.Congruent,0.896546609594952
18,4,D.Incongruent,T.Congruent,0.995386552698619
19,4,D.Incongruent,T.Congruent,0.945772165554808
20,4,D.Incongruent,T.Congruent,1.00005062085256
21,4,D.Incongruent,T.Congruent,1.09803666606458
1,5,D.Incongruent,T.Congruent,1.09998615166405
2,5,D.Incongruent,T.Congruent,1.16411478684749
3,5,D.Incongruent,T.Congruent,0.853139049944002
4,5,D.Incongruent,T.Congruent,0.981430908145558
5,5,D.Incongruent,T.Congruent,1.20933331936685
6,5,D.Incongruent,T.Congruent,1.15485458729381
